movimentos,caminho_total,distancia_ao_final
500,50,6
398,30,0
500,12,14
500,18,8
254,20,0
500,10,12
500,30,10
500,18,6
100,20,0
500,48,10
492,26,0
466,34,0
476,18,0
500,2,16
500,14,12
500,24,6
500,38,8
500,10,10
500,42,10
500,24,6
500,42,14
500,22,10
500,8,14
500,40,12
500,10,10
500,16,6
500,4,14
288,26,0
454,26,0
500,32,14
112,18,0
500,18,12
290,26,0
500,22,14
240,22,0
332,26,0
500,42,10
500,10,8
500,20,14
500,48,12
500,12,14
500,38,12
500,12,10
500,28,12
500,4,14
500,12,12
500,32,12
500,12,6
500,6,12
500,8,12
500,22,14
500,2,16
500,60,12
500,26,8
500,44,10
174,32,0
500,32,8
500,40,8
306,30,0
500,26,10
500,24,16
500,10,10
500,14,12
500,26,12
500,24,12
500,12,10
500,30,8
500,18,10
500,28,12
500,52,8
454,24,0
500,12,8
500,8,10
500,16,12
500,36,10
500,36,8
500,16,6
500,24,14
500,10,10
500,50,10
500,26,10
494,48,0
500,16,18
488,20,0
500,14,8
500,20,12
500,8,12
500,50,10
236,38,0
500,24,6
500,12,10
362,24,0
500,14,10
500,4,16
500,18,12
500,26,8
500,26,12
500,12,6
500,6,12
500,6,12
