movimentos,passos,distancia_ao_final
100,6,16
100,24,12
100,20,14
100,2,16
100,12,12
100,8,12
100,4,14
100,6,14
100,2,16
100,6,14
100,8,12
100,16,8
100,16,10
100,2,16
100,26,4
100,8,12
100,18,6
100,16,12
100,8,12
100,6,12
100,10,10
100,18,8
100,10,10
100,16,2
100,24,8
100,24,4
100,0,18
100,0,18
100,16,10
100,12,8
100,30,14
100,4,14
100,6,14
100,10,10
100,18,16
100,14,10
100,6,14
100,10,8
100,2,16
100,10,8
100,4,14
100,6,12
100,6,14
100,4,14
100,4,14
100,6,12
100,18,14
100,8,14
100,2,16
100,8,12
100,16,18
100,4,14
100,8,12
100,0,18
100,4,14
100,4,16
100,6,16
100,2,16
100,14,18
100,34,14
100,12,12
100,6,14
100,6,16
100,10,12
100,0,18
100,2,16
100,18,16
100,6,14
100,10,12
100,22,12
100,2,16
100,6,12
100,8,14
100,2,16
100,8,12
100,0,18
100,12,14
100,10,16
100,10,10
100,20,10
100,6,12
100,8,12
100,0,18
100,20,10
100,6,12
100,10,12
100,8,18
100,4,14
100,32,6
100,0,18
100,14,14
100,6,14
100,6,14
100,12,16
100,10,10
100,12,14
100,8,14
100,8,10
100,12,16
100,6,12
